,,"('C', 'major')","('D', 'major')","('Eb', 'major')","('F', 'major')","('G', 'major')","('A', 'major')","('Bb', 'major')","('C', 'melodic_minor')","('C', 'harmonic_major')","('C', 'harmonic_minor')","('C#', 'melodic_minor')","('C#', 'harmonic_major')","('C#', 'harmonic_minor')","('D', 'melodic_minor')","('D', 'harmonic_major')","('D', 'harmonic_minor')","('Eb', 'melodic_minor')","('Eb', 'harmonic_major')","('Eb', 'harmonic_minor')","('E', 'melodic_minor')","('E', 'harmonic_major')","('E', 'harmonic_minor')","('F', 'melodic_minor')","('F', 'harmonic_major')","('F', 'harmonic_minor')","('F#', 'melodic_minor')","('F#', 'harmonic_major')","('F#', 'harmonic_minor')","('G', 'melodic_minor')","('G', 'harmonic_major')","('G', 'harmonic_minor')","('Ab', 'melodic_minor')","('Ab', 'harmonic_major')","('Ab', 'harmonic_minor')","('A', 'melodic_minor')","('A', 'harmonic_major')","('A', 'harmonic_minor')","('Bb', 'melodic_minor')","('Bb', 'harmonic_major')","('Bb', 'harmonic_minor')","('B', 'melodic_minor')","('B', 'harmonic_major')","('B', 'harmonic_minor')"
D,harmonic_major,4.0,6.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,6.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0
D,harmonic_minor,5.0,5.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0
Eb,melodic_minor,3.0,2.0,6.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,7.0,5.0,6.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,3.0,3.0
Eb,harmonic_major,4.0,3.0,6.0,4.0,3.0,3.0,5.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,6.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
Eb,harmonic_minor,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0
E,melodic_minor,4.0,6.0,2.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,7.0,5.0,6.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0
E,harmonic_major,4.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,6.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0
E,harmonic_minor,5.0,5.0,3.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0
F,melodic_minor,5.0,3.0,6.0,6.0,4.0,3.0,5.0,4.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,7.0,5.0,6.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0
F,harmonic_major,5.0,4.0,4.0,6.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,6.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0
F,harmonic_minor,4.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0
F#,melodic_minor,3.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,7.0,5.0,6.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0
F#,harmonic_major,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,6.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0
F#,harmonic_minor,4.0,5.0,3.0,3.0,4.0,6.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0
G,melodic_minor,5.0,5.0,4.0,6.0,6.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,7.0,5.0,6.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0
G,harmonic_major,5.0,5.0,4.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,6.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0
G,harmonic_minor,4.0,4.0,5.0,5.0,5.0,3.0,6.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,6.0,5.0,3.0,4.0,4.0
Ab,melodic_minor,3.0,3.0,5.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,7.0,5.0,6.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0
Ab,harmonic_major,3.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,6.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0
Ab,harmonic_minor,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,6.0,5.0
A,melodic_minor,5.0,5.0,3.0,4.0,6.0,6.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,7.0,5.0,6.0,2.0,4.0,3.0,5.0,3.0,4.0
A,harmonic_major,5.0,5.0,3.0,4.0,4.0,6.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,6.0,3.0,3.0,3.0,5.0,3.0,4.0
A,harmonic_minor,6.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,3.0,4.0,3.0,4.0,2.0,3.0
Bb,melodic_minor,4.0,3.0,5.0,5.0,3.0,2.0,6.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,7.0,5.0,6.0,2.0,4.0,3.0
Bb,harmonic_major,4.0,3.0,5.0,5.0,4.0,3.0,6.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,6.0,3.0,3.0,3.0
Bb,harmonic_minor,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,3.0,4.0,3.0
B,melodic_minor,3.0,5.0,3.0,3.0,4.0,6.0,2.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,7.0,5.0,6.0
B,harmonic_major,3.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,6.0
B,harmonic_minor,4.0,6.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0
