,extensions (pitch classes),compatible modes,parent scale types,brightness
116,"[0, 4, 7]__[1, 5, 8]",Phrygian #3,harmonic_minor,[-1]
117,"[0, 4, 7]__[4, 8, 11]",Harmonic major,harmonic_major,[1]
118,"[0, 4, 7]__[5, 8, 11]",Harmonic major,harmonic_major,[1]
119,"[0, 4, 7]__[8, 11, 2]",Harmonic major,harmonic_major,[1]
120,"[0, 4, 8]__[1, 5, 8]",Phrygian #3,harmonic_minor,[-1]
121,"[0, 4, 8]__[10, 1, 5]",Phrygian #3,harmonic_minor,[-1]
122,"[0, 4, 8]__[4, 7, 11]",Harmonic major,harmonic_major,[1]
123,"[0, 4, 8]__[7, 11, 2]",Harmonic major,harmonic_major,[1]
124,"[0, 3, 6]__[11, 2, 6]",Lydian b3,harmonic_major,[2]
125,"[0, 3, 6]__[2, 5, 8]",Aeolian b5,melodic_minor,[-2]
126,"[0, 3, 6]__[7, 11, 2]",Lydian b3,harmonic_major,[2]
127,"[0, 3, 7]__[1, 5, 8]",Phrygian,major,[-2]
128,"[0, 3, 7]__[11, 2, 6]",Lydian b3,harmonic_major,[2]
129,"[0, 4, 7]__[10, 2, 6]",Lydian Dominant,melodic_minor,[2]
130,"[0, 4, 7]__[2, 6, 10]",Lydian Dominant,melodic_minor,[2]
131,"[0, 4, 7]__[6, 10, 2]",Lydian Dominant,melodic_minor,[2]
132,"[0, 3, 7]__[0, 4, 8]",Phrygian b4,harmonic_major,[-3]
133,"[0, 3, 7]__[1, 4, 7]",Phrygian b4,harmonic_major,[-3]
134,"[0, 3, 7]__[1, 4, 8]",Phrygian b4,harmonic_major,[-3]
135,"[0, 3, 7]__[10, 1, 4]",Phrygian b4,harmonic_major,[-3]
136,"[0, 3, 7]__[4, 7, 10]",Phrygian b4,harmonic_major,[-3]
137,"[0, 3, 7]__[4, 8, 0]",Phrygian b4,harmonic_major,[-3]
138,"[0, 3, 7]__[8, 0, 4]",Phrygian b4,harmonic_major,[-3]
139,"[0, 4, 7]__[11, 2, 6]",Lydian,major,[3]
140,"[0, 4, 7]__[3, 7, 10]",Phrygian b4,harmonic_major,[-3]
141,"[0, 4, 7]__[8, 0, 3]",Phrygian b4,harmonic_major,[-3]
142,"[0, 4, 8]__[0, 3, 7]",Phrygian b4,harmonic_major,[-3]
143,"[0, 4, 8]__[2, 5, 9]",Ionian #5,harmonic_minor,[3]
144,"[0, 4, 8]__[3, 7, 10]",Phrygian b4,harmonic_major,[-3]
145,"[0, 4, 8]__[5, 9, 0]",Ionian #5,harmonic_minor,[3]
146,"[0, 3, 6]__[0, 4, 7]",Lydian #2,harmonic_minor,[4]
147,"[0, 3, 6]__[10, 1, 4]",Altered,melodic_minor,[-4]
148,"[0, 3, 6]__[4, 7, 11]",Lydian #2,harmonic_minor,[4]
149,"[0, 3, 7]__[4, 7, 11]",Lydian #2,harmonic_minor,[4]
150,"[0, 3, 7]__[9, 0, 4]",Lydian #2,harmonic_minor,[4]
151,"[0, 4, 7]__[0, 3, 6]",Lydian #2,harmonic_minor,[4]
152,"[0, 4, 7]__[11, 3, 6]",Lydian #2,harmonic_minor,[4]
153,"[0, 4, 7]__[11, 3, 7]",Lydian #2,harmonic_minor,[4]
154,"[0, 4, 7]__[3, 6, 9]",Lydian #2,harmonic_minor,[4]
155,"[0, 4, 7]__[3, 7, 11]",Lydian #2,harmonic_minor,[4]
156,"[0, 4, 7]__[7, 11, 3]",Lydian #2,harmonic_minor,[4]
157,"[0, 4, 7]__[9, 0, 3]",Lydian #2,harmonic_minor,[4]
158,"[0, 4, 8]__[11, 2, 6]",Lydian #5,melodic_minor,[4]
159,"[0, 4, 8]__[2, 6, 9]",Lydian #5,melodic_minor,[4]
160,"[0, 4, 8]__[3, 6, 10]",Altered,melodic_minor,[-4]
161,"[0, 4, 8]__[6, 10, 1]",Altered,melodic_minor,[-4]
162,"[0, 3, 6]__[4, 8, 11]",Lydian #5 #2,harmonic_major,[5]
163,"[0, 3, 6]__[8, 11, 3]",Lydian #5 #2,harmonic_major,[5]
164,"[0, 3, 6]__[9, 1, 4]",Altered b7,harmonic_minor,[-5]
165,"[0, 4, 8]__[11, 3, 6]",Lydian #5 #2,harmonic_major,[5]
166,"[0, 4, 8]__[6, 9, 1]",Altered b7,harmonic_minor,[-5]
167,"[0, 4, 8]__[8, 11, 3]",Lydian #5 #2,harmonic_major,[5]
168,"[0, 4, 8]__[9, 1, 4]",Altered b7,harmonic_minor,[-5]
